,Questions,Answers
37,"Did the government have any consultations via forums or polls, intended to involve people in JUSTICE issues?","You can find information about past consultations, which involve people in justice issues in our polls page, and forum page on sharik.ae. "
38,"Did the UAE government have consultations, which involved people in justice issues during the last year?","In our consultations page on sharik.ae, you can find information about closed consultations and their results, which involved people in justice issues during the last year."
39,Does the UAE government plan consultations which involve people in justice issues faced earlier?,"You can find information about upcoming consultations, which involve people in justice issues in our consultations page, under planned consultations on sharik.ae. "
40,How are the UAE laws issued and how to find them?,Read about Issuing federal laws and decrees and where you can find UAE federal laws.
41,How can I get updates and notifications related to justice services?,You can subscribe to RSS service or newsletter service provided by Ministry of Justices. Learn more
42,How can I make a declaration to the police?,You can report incidents to the police through a variety of channels. Find information on the handling emergencies page.
43,I want to know more about the UAE policy on justice. Where can I find related information?,Judicial policy page under justice and law section gives information about the UAE policy on justice and enlists all related resources
44,What are the provisions regarding human rights in the UAE?,Read about human rights in the UAE.
45,What are the various anti-discrimination laws and policies in the UAE?,Read all about anti-discrimination laws and policies in the UAE. 
46,What is a Police Clearance Certificate (PCC)? How can I apply for it?,"A Police Clearance Certificate (PCC), known also as ‘Good Conduct Certificate’ is a proof of the person’s criminal record or the lack of it in the state in which he/she resides. In the UAE, the certificate is issued by police departments across the UAE and it indicates that the person is not accused or does not have any criminal precedents. You can apply for a PCC online."
47,Where can I find a directory of online services related to justice in the UAE?,"On this portal, you can find online directories of justice-related eServices provided by the respective judicial authorities in the UAE"
48,Where can I find information about government expenditure (budget) on justice?,"On this portal, you can find detailed information about the UAE government budget on justice under budget and expenditure section."
49,Where can I find open datasets on justice?,The UAE official Open Data Portal provides enhanced open datasets on justice for public use. Explore justice datasets.
50,Which entities are responsible for justice in the UAE?,"In the UAE, Ministry of Justice is the federal entity, which regulates justice affairs. Abu Dhabi and Dubai have their own local judicial systems. Read more about justice and law in the UAE. For more information about the UAE’s policy on justice and law enforcement, please visit these websites: 

Ministry of Justice
Abu Dhabi Judicial Department
Dubai Courts."
51,Which entities are responsible for maintaining security and safety in the UAE?,Read about it on the page about entities responsible for maintaining security and safety in the UAE.
52,Does the UAE Government produce/share open data?,"Yes, it does. Federal Competitiveness and Statistics Centre, is the UAE government source for national statistics in all sectors. In addition, all federal entities in the UAE have open data and publications on their portals available to the public. Below are links to open data available in the following sectors in the UAE:

Open Data for health - Ministry of Health & Prevention
Open Data for education - the Ministry of Education
Open Data for government human resources and employment-Federal Authority for Government Human Resources (FAHR) 
Open Data for social affairs - Ministry of Community Development
Open Data for labour and private sector establishments- Ministry of Human Resources & Emiratisation
Open Data for finance matters - Ministry of Finance
Open Data which relates to environment - Ministry of Climate Change and Environment
Open data for Justice – Ministry of Justice."
53,I can't find the data that I am looking for. How can I request for it?,You can use this form to request for data from DubaiPulse.
54,How does the UAE Government promote the use of its data amongst the public?,"The UAE Government started an annual nationwide hackathon titled ‘The UAE Hackathon – Data for Happiness’ in February 2018. The hackathon involved using government data to invent apps that provide solutions/services for the benefit of people. In fact, the hackathon is also important to develop the future skills of youth."
55,Is there a data dictionary or metadata repository?,"Refer to data dictionary on the website of UAE's Data portal, Bayanat. "
56,I would like to suggest a certain data set to be made available to the public. How can I do that?,You can suggest data to the Bayanat portal.
57,What are the benefits of open government data?,"Disclosing government data brings transparency in government transactions and makes them accountable for their actions. It facilitates public scrutiny and evaluation of government performance. Open data helps in efficient use of resources, designing customized service delivery and creation of more jobs. It helps people to make informed decisions about public policies and identify development opportunities. Through all its endeavours, open government data helps to achieve the SDGs. A document issued by World Bank (PDF) estimates the direct, annual economic value of open government data in two different studies as up to 40 billion euros throughout the European Union and close to 2 billion pounds in the UK. Read more on open data."
58,What are the regulations relating to open data? Is there a law for open data in the UAE?,"The UAE passed the Dubai Data law. In addition, it launched the open data guidelines and adopted open data policy an example of which can be found on the website of Telecommunications and Digital Government Regulatory Authority."
59,What is Bayanat.ae?,Bayanat.ae is the national portal for open government data in the UAE
60,What is open government data?,"Government data that is freely available for anyone to use, reuse, distribute or share with others without restrictions is called open government data. As per the UN eGovernment Survey 2018, open government data is government information proactively disclosed and made available online for all to access, without restriction."
61,What is the UAE’s policy on open government data?,"Government data that is freely available for anyone to use, reuse, distribute or share with others without restrictions is called open government data. Learn more"
62,Where can I find guidance on how to use open government data?,"Refer to the UAE Smart Data Framework - Implementation Guide (Word, 2MB)."
63,Where can I find open datasets on employment?,The UAE official Open Data Portal provides enhanced open datasets on education for public use. Explore open datasets on employment.
64,Where can I find open datasets on social protection?,The UAE official Open Data Portal provides enhanced open datasets on education for public use. Explore open datasets on social protection.
65,Can the people of determination (disabled people) access the information and services on this portal easily?,"Yes, this portal has several features, which enable the people of determination (disabled people) to browse its pages easily. Learn more about accessibility features."
66,Does the UAE government facilitate job vacancies for the people of determination?,"Yes, you can apply and check vacancies from entities through the recruitment platform for people of determination. Read more about employment of people of determination."
67,Does the UAE offer accessible public transportation to people of determination?,"The UAE provides access to safe, affordable, accessible and sustainable transport systems for people of determination (persons of disability). Read more on how transport facilities are increasingly becoming friendly and meet the mobility needs of people of determination. "
68,What are the rights of people of determination?,"Federal Law No. 29 of 2006 Concerning the Rights of People with disabilities  protects the rights of people with disabilities and guarantees them the right to live with dignity. Discrimination is defined as any segregation, exclusion or restriction due to special needs leading to the damage or denial of recognition of any rights granted by the prevailing legislation in the country or its practice or enjoyment on an equal footing. This way, the UAE strives to empower and promote the social inclusion of all."
69,What are the specific healthcare facilities and services provided to people with disabilities?,The UAE Government provides several healthcare facilities and services to people with disabilities. Read about it on the section relating to health of people of determination.
70,What are the specific laws and policies relating to the rights of people with disabilities?,Federal Law No. 29 of 2006 Concerning the Rights of People with Special Needs protects the rights of people of determination (special needs) and guarantees them the right to live with dignity. The page about people of determination covers several policies and facilities offered to them. The UAE is also a signatory to the various conventions in this regard. Read about it on the page about protecting the rights of people of determination (people with special needs).
71,What special services/facilities do people of determination get from the Government?,"People of determination receive social assistance, accessible healthcare, quality education and equal opportunities to get a job. In addition, they receive rehabilitation and accessible transport and parking facilities. Read about services offered to people of determination."
72,Where can I find information about persons of disability?,"The UAE refers to persons of disability as “people of determination” in recognition of the achievements that people of determination have made in various spheres over the past years, countering challenges and difficult circumstances while firmly achieving their goals. Read how the UAE guarantees the rights of people of determination in all legislations, as well as economic and social development programmes and policies. "
73,Where can I find out about live support about public services to people with disabilities?,You can read about it on the page about live support about public services for people of determination (people with special needs).
74,Who are the people of determination?,"Under the National Policy for Empowering People with Special Needs, people with special needs or disabilities will be referred to as ‘people of determination’ to recognize their achievements in different fields."
75,What is UAE Pass?,The UAE Pass is your personal digital identity for secure identification. It is an easy and safe service that will give you access to various signature and authentication services within the United Arab Emirates.
76,What do I need to register with UAE Pass?,"To register with UAE Pass, you will have to enroll at one of our kiosks located around the UAE and then follow the onscreen instructions. "
77,Do I need to pay for this service?,There is no charge to register and use the UAE Pass service. 
78,Can I apply for a birth certificate online?,"Yes, to get a birth certificate parents can apply to Ministry of Health and Prevention or the health authority in their emirate of residence for a birth certificate online.

You can check links below for related services.

Birth certificate issuance - Ministry of Health and Prevention
Apply for a birth certificate in Au Dhabi- TAMM


Read more."
79,Can I apply for a building permits online?,"Local municipalities in the UAE are the entities authorised for overseeing building and construction safety in the country and provide building permits.
Apply through Dubai building permit system- Dubai Municipality
Services relating to construction permit – Abu Dhabi city Municipality"
80,Can I apply for a death certificate online?,"Yes, you can apply online to Ministry of Health and Prevention for a death certificate. Read more"
81,Can I apply for a driver's license online?,"Yes, qualified drivers can apply online for a driving license from the related local transport authority. 
eServices:

Ministry of Interior
RTA Dubai

Read more."
82,Can I apply for a environment-related permits online?,"Yes, individuals and businesses can apply online to Ministry of Environment and Climate Change for environment-related permits. Read more"
83,Can I apply for a land title registration online?,"Yes, in Abu Dhabi you can apply online to the Department of Urban Planning and Municipalities to get you Unit Ownership Deed service."
84,Can I apply for a marriage certificate online?,"Yes, Ministry of Justice has launched eMarriage service that lets couples wishing to get married to book an appointment with a marriage officer through an online updated database linked to the ID card system. 
Both, the Judicial Department in Abu Dhabi and Dubai Courts facilitate online marriage applications.

Marriage contract– Dubai Courts
Marriage contracts – Judicial Department Abu Dhabi"
85,Can I apply for an identity card online?,"For getting an Emirates ID card, the applicant has to fill the eForm through the online form available on website of Federal Authority for Identity and Citizenship (FAIC). Read more"
86,Can I apply for a scholarship online?,"Yes, you can apply online for most of the scholarships provided by entities.

Scholarship eService- Ministry of Education
Scholarships, fellowships and Graduate Assistantships - UAE University"
87,Can I apply for government vacancy positions online?,"Yes, you can search for vacancy positions in the UAE Government through a number of official job portals, including Federal Government job portal, Abu Dhabi Government job portal, and Dubai Government job portal. 
Read more"
88,Can I apply online for an affidavit of criminal record?,"Yes, you can. In the UAE, an affidavit of criminal record is called clearance certificate. Local police stations and Ministry of Interior issue clearance certificates. Apply online for clearance certificate."
89,Can I pay fees of government services online?,"Yes, most government entities in the UAE have an online channel for payment of their services. A customer can apply to services online and pay for them via the same website. Learn more. "
90,"Can I retrieve my personal profile information, open a case or manage my court cases online?","Yes, you can retrieve information on your personal details and services. Moreover, you can file a case online and enquire about a case online."
91,Can report labour violations online?,"Yes, on the website of Ministry of Human Resources and Emiratisation, you can report any labour issue online. Report a labour dispute."
92,Can I pay electricity and water bills online?,"Yes, you can. You can visit the electricity page or the public utility page to pay utility bills online. "
93,Where can I find all the services provided by the UAE Government?,The Services A-Z page contains all the services provided by the UAE Government.
94,How can I pay for the UAE Government's services?,The services of the UAE Government are accessible through many online and offline channels. You can pay for services through all these channels. Find information on the page about service channels and modes of payment.
95,How can I apply online for a business licence?,"You can apply for a business licence online through the Bashr page, the eCommerce page and through the website of Dubai Economy"
96,Does the UAE adopt the model of public-private partnership? Where can I read about it?,The UAE adopts public-private partnership in delivering many online services to the public. Read about it on the public private partnership page.
97,How can I see or modify my personal details online?,"You can log in to UAE Pass app, the national digital identity and signature solution in the UAE, to see or modify your personal details registered with the UAE Government."
98,Can I pay for energy (electricity/gas) or utility bills online?,"Yes, you can. You can go to the page about public utilities or electricity or Services A-Z and find the links to pay for energy and utility bills online.   "
99,Can a company access its own data which the government has on record?,"Registered companies in the UAE have access to view the records related to their businesses and employees. 
They can view the data of their economic licences through the National Economic register and their vat records through the eServices portal of  the Federal Tax authority. Companies are given a secured access to eChannels where they can view the status of their company, the  records  of the  employees they sponsor at the Ministry of the Human Resources and Emiratisation and the General Directorate of Residency and Foreigners Affairs. "
100,Can a user access a list of her/his previous interactions/transactions with government entities services?,"Through SmartPass, which is the single sign-on for all UAE government services, users can access a list of previous interactions and transactions with government entities services."
101,Can businesses modify their own data online?,".Through UAE Pass, which is the single sign-on for all UAE government services, users can modify their own data online"
102,Can I modify/update my address online?,"You can notify the government entities in the UAE of moving/changing your address online. This service enables the customer to update information i.e. new postal address, telephone numbers, email address etc. to receive the monthly bills, notifications through SMS, e-mail. Everyone is eligible to use this service. Find below services related to changing an address. 
Update your identity profile – Federal Authority for Identity and Citizenship
Update customer information – Dubai Electricity and Water Authority
Request to update residential data– Dubai Municipality."
103,"Can users  customize  and  mark their favourite, most used online services?","Through SmartPass, which is the single sign-on for all UAE government services, users can  personalise and mark their favourite and most used online services."
104,Does the citizen has the right to access government information?,The UAE assures freedom and access to information through 'The Guide Access Government Information' and Law No. 26 of 2015 on the Organization of Dubai Data Publication and Sharing also known as Law No. 26 of 2015 Regulating Data Dissemination and Exchange.
105,Does the UAE Government has a chief information officer?,"H. E. Hamad Obaid Al Mansoori, Head of Digital Government executes the role of Chief Information Officer (CIO) in the UAE. As the CIO, H. E. Mansoori leads the management and implementation of national projects and initiatives that are aimed at achieving the digitalisation of the country. Learn more."
106,How can I check  existing companies with valid trade licences in the UAE?,"Through the UAE’s National Economic register (NER), one can  get instant information about existing companies and business activities in the UAE."
107,How can I report unethical behaviour or conduct of a government staff?,You can find information about reporting unethical behaviour and cases of corruption or bribery on the page about accountable government performance.
108,How does the UAE care for the early childhood development?,"Early childhood development is the responsibility of a wide range of government entities in the UAE. Ministry of Education and Ministry of Community Development are the main entities, which provide childcare services and initiatives. Read more about early childhood."
109,How government protect personal data?,"Your collected personal information will be accessible only to the government employees who have a need to know it to deliver you the service or information you request. It will not be available for public inspection. In addition, no user information will be shared, sold, or transferred to any third party without your prior consent. Learn more"
110,Is there an evidence that people’s voices were included in the decision-making of the past consultations held by UAE government?,"Yes, you can find results of closed consultations held to take people’s feedback about various issues in our consultation page. Look for the outcome of closed consultations."
111,What are the cyber security laws and strategies in the UAE?,"Read about the National Cyber Security Strategy, cyber safety and digital security measures, cyber laws and Dubai Cyber Security Strategy."
112,What is the number of transactional services on the portal?,"The UAE provides more than 6,000 federal and local digital services. At the federal level, there are 2,635 federal digital services; 2,126 of these are transactional digital services.
Read more about eServices in this portal."
113,What is the UAE's Digital Readiness Strategy?,"UAE launched many strategies and plans to harness its digital transformation. In addition, it has launched Mobile Government initiative, the UAE Strategy for Government Services, and the UAE Digital Government Strategy 2025, in order to digitize the government services and them available to the people wherever they are 24/7."
114,What is the UAE’s policy on eParticipation?,"We assure you that your voice will be heard and taken into consideration as one of the important references when discussing the improvement and development our services, portal and the websites of other federal government entities. Although UAE eGovernment welcomes any comment or feedback on the platforms it uses, it reserves the right to disapprove/delete/hide any improper material. Read about digital participation in the UAE"
115,What is UAE Pass?,The UAE Pass app is the first national digital identity and signature solution that enables users to identify themselves to government service providers in all emirates through a smartphone-based authentication. It also enables users to sign documents digitally with a high level of security.
116,Where can I find information about government spending/expenditure?,There is a complete section about government budget and expenditure/spending on this portal. More
117,Where can I find information about the bidding process for government tenders?,You can find information about the bidding process for government tenders on the pages about government tendering and awarding and tendering for partnership contracts.
118,Where can I find information about the government structure?,You can find information about the UAE government's structure on the pages of federal and local governments.
119,Where can I find names of ministers in the UAE?,This page provides a list of members of the UAE Cabinet who are also heads of Government and/or ministers of federal authorities/entities/ministries.
120,Where can I get free Wi-Fi in the UAE?,This page provides information about the Wi-Fi hotspots and ways to connect to Wi-Fi in the UAE.
121,Where can I register online for patents and trademarks in the UAE?,"Ministry of Economy is the competent authority to register trademarks and patents in the UAE. To register a trademark or patent , a customer can submit an online application via the ministry’s website under the eServices tab."
122,Can an individual carry out fund raising activities in the UAE for a good cause?,Fund raising activities can be carried out only after obtaining a permit from the UAE’s registered charity organisations.
123,Which federal entity is in charge of licensing charitable organisations in the UAE?,"UAE nationals can apply online to Ministry of Community Development, while expatriate residents need to submit their application to the ministry through their respective embassy or consulate in the UAE.
The ministry will consider the application and refer it to the Cabinet, which takes the final decision on registering the organisation."
124,Does the UAE Government provide an online donation facility?,The General Authority of Islamic Affairs and Endowments offers an eDonation service for those who wish to donate to various types of endowments. 
125,How can I support/volunteer for government-backed social causes?,"The UAE Government partners with several civil societies such as UAE Red Crescent Authority through which public can support or sponsor social and charitable issues. You can check the following links: 

sponsor an orphan
donate to provide water
 register as a volunteer."
126,How to report beggars in the UAE?,"You can report beggars in:

Abu Dhabi on 999 or 8002626 (Aman Service)
Dubai on 800243
Sharjah on 065632222
Ras Al Khaimah on 072053372
Ajman on 067401616
Umm Al Quwain on 999
Fujairah on 092051100 or 092224411

Beggars are liable to be fined and/or deported as decided by the courts."
127,Are all UAE schools open for students of disability ( Students of determination)?,"The UAE refers to the people with special needs or disabilities as ‘people of determination’ in recognition of their achievements in different fields. Since 2008, the UAE has implemented an inclusion policy for students of determination (students of disability) and facilitated their access in the education system. Education is a key pillar of the 'National Policy for Empowering People of Determination'. The government is keen to provide an integrative education system in public and vocational education and adapt school curricula to cater their needs. It also provides qualified teachers and specialists, appropriate supportive technologies and learning materials. Read more about access to education for persons of determination."
128,Can I access health education through mobile apps or SMS?,"Of course, yes. Ministry of Education, Dubai Knowledge and Human Development Authority, Abu Dhabi Department of Education and Knowledge have their own applications to provide online education services. Moreover, some education services are provided via SMS. More"
129,Can I receive updates or subscribe to notifications related to education?,"Yes, you can subscribe to the newsletter of the Ministry of Education. Find more information under education-related services and updates."
130,Is there an evidence that people’s voices were included in the decision-making of the past consultations held by UAE government regarding education issues?,"Yes, you can find results of closed consultations held to take people’s feedback about education issues in our consultation page. Look for the outcome of closed consultations."
131,Does the UAE government plan consultations which involve people in education concerns faced earlier?,"Yes, you can find information about upcoming consultations which involve people in education issues in our consultation page, under planned consultations."
132,Does this portal provide information about how to enroll in primary/elementary or secondary education in the UAE?,"Under joining K-12 education, you will find all information related enrolment in primary/elementary or secondary education in the UAE."
133,Does this portal provide sufficient information about education services in the UAE?,"Yes, this portal provide a whole section on education services and regulations under Education."
134,How can I search for a college or university in the UAE?,The Ministry of Education’s website provides a list of all higher education institutes in the UAE.
135,How can I search for public and private schools in the UAE?,You can search for all schools in the UAE through this interactive school map from the Ministry of Education. The map provides facility to sort by emirate and type of school (whether co-ed or gender segregated). It also provides contact details of the schools.
136,I need information about scholarships or education funding programs in the UAE.,Ministry of Education (MoE) provides scholarships to UAE nationals for graduate and undergraduate programmes to study abroad in one of the recognised universities. Read more about scholarships provided by MoE and other entities.
137,Where can I find information related to school education and registration in the UAE?,"Under ‘School education K-12’, you will find all relevant information regarding school education in the UAE’s public and private sectors, along with all related topics."
138,Is transfer between schools in the UAE allowed?,Transfer is allowed provided the rules on transferring between schools in accordance with Article 16 of Ministerial Decree No. 820 of 2014 on Registration Terms for Students are observed.
139,"I want to learn about the UAE policies related to education, where can I find them?","This portal provide useful information about the UAE policies, plans and programs related to educations. Read more."
140,What curricula are available in the UAE’s schools?,"In government schools, the national curriculum approved by Ministry of Education is taught. In private schools, various curricula are taught which cater to expatriates from different backgrounds and culture. Read more about curricula and language of instruction."
141,Where can I find a directory of online services related to education in the UAE?,"On this portal, you can find online directories of education-related eServices provided by the respective education authorities in the UAE."
142,Where can I find a private institute for higher education in the UAE?,The website of Commission for Academic Accreditation provides a search engine for private institutes for higher education in the UAE.
143,"Where can I find information about technical, vocational and post-secondary education in the UAE?","The UAE Ministry of Education is the federal  authority of developing policies related to higher education in the public and private sector. It licenses higher education institutions, regulates and funds the establishment of federal public educational institutions. The local emirates can also set up public educational institutions that they fund through their local emirate governments in coordination with the Ministry of Education. Find out more information about 
Established in 2014, Qualifications and Awards in Dubai (QAD) is the arm of KHDA responsible for regulating the technical and vocational education and training (TVET) sector, and to quality assure TVET qualifications in Dubai. QAD operates under the rules and regulations of KHDA while its awarding body functions are regulated by the NQA and VETAC.
 In  Abu Dhabi, the Abu Dhabi Centre for Technical and Vocational Education and Training (ACTVET) is  authorized to regulate TVET within the Emirate of Abu Dhabi. The UAE has prioritized the development of vocational skills to respond to the technological changes and prepare skilled human resources for the market. At the federal level,  Vocational Education and Training Awards Council (VETAC) is the  regulatory body for VET at the federal level and it works under the auspices of National Qualifications Authority.
    
    technical and vocational education and training (TVET)
      
     in the UAE. Find also information about 
    
    higher education institutes
      
     in the UAE."
144,Where can I find information on government spending on education?,You can find government expenditure on education on the page about government budget and expenditure.
145,Where can I find open datasets on education?,The UAE official Open Data Portal provides enhanced open datasets on education for public use. Explore education datasets.
146,Where can I find information of current consultations and results of closed consultations held to take people’s feedback about education issues?,"You can find information of current consultations and results of closed consultations held to take people’s feedback about education issues in our consultation page, under current and closed consultations."
147,Where can I find information about recycling and the reuse of waste?,"The UAE government is taking measures to meet its ambitious target of diverting 75% of municipal solid waste away from landfills by 2021, as per its National Agenda and UAE Vision 2021. 
The UAE government and the Ministry of Climate Change and Environment are working with local entities and private partnerships to transform waste from an environmental burden into an economic resource by focusing on the development of the recycling industry and the transformation of waste into energy. Read more about recycling and the reuse of waste. Read also about UAE's efforts to fulfill the SDG 'Responsible consumption and production'."
148,Where can I check the fuel and diesel prices?,The Ministry of Energy’s website provides a monthly update on the fuel and diesel prices.
149,How can I be a responsible consumer for electricity and water?,You could rationalize your usage  by following the slab tariff system applied by the electricity and water authorities.
150,"Besides,U.ae, where else can I find information about environment policies and programmes in the UAE?","Besides, U.ae page on environment, you can find more information on environment on several government websites including the Ministry of Climate Change and Environment, the environment website (Beeatna.ae) the Environment Agency –Abu Dhabi, and EPPA Sharjah."
151,Where can I find information about environment policies  in the UAE?,The UAE has made strategic steps to mitigate the pressures and challenges faced by the eco-systems of the country. Find more information about different aspects of environment protection and policies here.
152,Where can I subscribe to receive alerts and updates on environmental issues and weather status?,"The Ministry of Climate Change and Environment and the National Centre of Meteorology provide services relating to weather conditions and environmental status through eNewsletters, RSS, SMS, mobile app and their websites. NACEMA’s National Early Warning System (EWS) supports the emergency management system in the UAE. EWS sends text messages to people to warn them of the dangerous weather conditions and instruct them on procedures to be followed to stay safe. 
Find out how can you subscribe for environmental alerts."
153,"If I want to receive updates or subscribe to notifications about weather alerts (air quality, flooding alert), what to do?","Of course, you can receive updates and notifications related to weather conditions. Just subscribe to the newsletter, register for the RSS service of the MOCCAE or download the UAE Weather app. More"
154,Where can I find open government data and data sets on environment?,"The UAE Government adopted the Open Data policy in order to make government data and information accessible to the public. You may find open government data related to environment on this page. For more information refer also to UAE open data portal, Bayanat.ae. "
155,Where can I find information of current consultations and results of closed consultations held to take people’s feedback about environmmental  issues?,"You can find information of current consultations and results of closed consultations held to take people’s feedback about environmental issues in our consultation page, under current and closed consultations."
156,Does the UAE Government provide any guide for environmental hazards?,"The National Emergency Crisis and Disaster Management Authority (NCEMA) is the federal entity responsible for the safety of the lives of all citizens and residents on the territory of the UAE and the property of the country. Read also NCEMA guidelines to deal with: 

earthquake

heavy rain, flood and thunderbolt 
sand storm 
fog.

Also, refer to the guide for emergencies (PDF, 9 MB) for tips to survive during natural calamities and wars.
In addition to Ministry of Climate Change and Environment, there is a competent authority of environment in each emirate. They are:

Environment Agency - Abu Dhabi 
Dubai Municipality 
Environment & Protected Areas Authority - Sharjah  
Ajman Municipality 
Umm Al Quwain Municipality
Environment Protection and Development Authority - Ras Al Khaimah
Fujairah Municipality."
157,Does the UAE government plan consultations which involve people in environment issues experienced earlier?,"You can find  information about upcoming consultations which involve people in environmental issues in our consultation page, under planned consultations."
158,Is there an evidence that people’s voices were included in the decision-making of the past consultations held by UAE government regarding enviromental issues?,"Yes, you can find results of closed consultations held to take people’s feedback about environmental issues in our consultation page. Look for the outcome of closed consultations."
159,Where can I  subscribe to receive notifications about weather conditions and environmental natural disasters?,"You can receive notifications and warnings about weather conditions and environmental threats by subscribing to many services offered by UAE government entities through eNewsletters, RSS, SMS, mobile app and relevant government  websites."
160,Where can I find a directory of online services related to environment and energy in the UAE?,"On this portal, you can find online directories of environment and energy eServices provided by the respective authorities in the UAE."
161,Where can I find information about government expenditure (budget) on environment?,"On this portal, you can find detailed information about government budget and expenditure on environment."
