,Questions,Answers
37,Is there a fee for submitting enrollment request/ application as a trainee lawyer and operated lawyers?,"For trainee lawyers, there is no fees imposed till  now, for submitting the application at the ministry (while there is fee  amounting AED . (Only one hundred and twenty thousand Emirati  Dirhams) to be paid at Training and Judicial Studies Institute for being  trained for six months period. On the other hand, for operated lawyers,  fees amounting AED  (Only one thousand Emirati Dirhams) shall be  paid, when Lawyers’ Assessment Committee approves enrollment and after  taking the legal oath. Such fees shall be paid on annually basis."
38,"From where a lawyer or legal translator can get forms of enrollment, renewal and transfer thereof?","You can get all types of forms in pertaining to  Lawyers and Translators Affairs Department from Ministry of Justice’s  website www.moj.gov.ae, Service Center in Abu Dhabi/ Dubai."
39,Why does Ministry of Justice refuse to renew for lawyers and translators for a period of three years like other governmental departments?,"Renewing for three years is deemed violation to  Emirati Law Regulating the Legal Profession no. / . Meanwhile,  Emirati Law Regulating Translation no. /  permits renewing  enrollment for three years."
40,"What is the penalty to be imposed on lawyer, who refrains from renewing enrollment within legally prescribed terms, whereas I delayed for two days on the basis of enrollment’s expiration date specified on my enrollment card?","Pursuant to Article no. () of Law Regulating the  Legal Profession no. / , the enrollment shall be deemed revoked by  the termination of two months as of notification date. Renewing  Enrollment Card requires, in such case, Committee’s approval, and the  payment of penalty amounting AED  (Only five hundred Emirati  Dirhams)."
41,"Is it necessary to submit cases’ statement, even the foreigner citizen is a governmental lawyer?","Yes, all enrolled lawyers from the State citizens and the Gulf Cooperation Council’s states."
42,"Is it necessary to submit cases’ statement, even the foreigner citizen is a governmental lawyer?","Yes, all enrolled lawyers from the State citizens and the Gulf Cooperation Council’s states."
43,Is it enough for Lawyer Admission Committee to submit a certificate issued on part of Bar Association in my country stating that I am enrolled as a lawyer since fifteen years?,It shall be enough for GCC’s lawyers.
44,"I deal with a principal working in Sharjah, such customer/ principal desires to appoint/ authorize me in a certain case, for pleading before the Esteemed Court, I am licensed in Jordan as a lawyer pleading before courts, may I get permission for pleading in certain case before a federal court?","Pursuant to Article no. (), the Lawyers Admission  Committee may grant a permission for a lawyer or more from any Arab  country, working as lawyers, upon reciprocity condition. Such permission  shall be granted by the Committee Chairman."
45,"What are the conditions for a lawyer from a GCC’s state, to work in the United Arab Emirates?","Being licensed to work as a lawyer at such person’s own countryHaving at least three years of experienceSubmitting all required documents as instructed by Ministry of  Justice’s website www.moj.gov.ae , however such lawyer shall be enrolled  after being joined to an Emirati law firm."
46,What is the number of delegates permitted per each law firm?,Three delegates
47,"Shall the lawyer, employed at a law firm operating in the state, have the right to enroll at Pension Department?","YesThe lawyer, owning law firm, shall enroll all citizen employees.The lawyer, owning law firm, may enroll other employees, belonging to Gulf Cooperation Council."
48,What is the Fatwa and Legislation Department?,"The Fatwa and Legislation Department is concerned with preparing and  reviewing drafts, studies, fatwas and all legal matters required by  government agencies. It exercises the following tasks particularly:Preparing for and participating in public policies and strategic  directions of the Ministry of Justice and carrying out the operational  management plans.Preparing major legislation projects relating  with the federal prosecution, public prosecution, laws of property  ownership and expropriation in the public interest, laws of penalty,  civil and commercial transactions, corporate, proceedings before the  civil and criminal courts, laws of protecting the property of literary,  artistic, industrial and authors' rights and laws regarding request for  extradition in conjunction with stakeholders.Studying drafts,  decrees and regulations required by various government agencies and  preparing them in the appropriate legal form before submission to the  Council of Ministers.Showing the legal opinion on any issue or a  legal opinion at the request of various government agencies and what  may be raised from differing opinion among these entities.Reviewing contracts executed by the government or official institutions or public bodies as a ""party"" thereof.Undertaking studies and all other legal matters required by the need of work in various federal authorities.Supervising that the federal legislations are translated and publicized.Any other jurisdiction assigned by the Assistant Undersecretary for the Fatwa and Legislation Department and state cases."
49,How can I access to the Fatwa and Legislation Department? What are its branches?,Abu Dhabi – Al-Bateen area - Cabinet of the Ministry  of Justice/ rd floor and there isn't any other headquarters. You can  contact on the following phone numbers (-) and via the  email of legislation (tashreat@moj.gov.ae).
50,What are requirements of obtaining legal opinions?,The presence of a realistic caseAll relevant documents on the subject
51,What are requirements of reviewing drafts?,Cabinet approvalDraft legislation
52,Is it possible that the Fatwa and Legislation Department provides any government agency – upon request- a representative and assistant in preparing drafts before submitted to the Fatwa and Legislation Department?,"Yes, federal authorities can do this only."
53,What are the time limits to get legal opinions from the Fatwa and Legislation Department?,business days
54,How can I get fataws issued by the Fatwa and Legislation Department?,"Yes, you can visit the website of the Ministry www.moj.gov.ae under the window of laws and legislations."
55,Where the service centers for the department of minors and absentees funds care?,The services for the minor and absentees funds care are provided by employees in-charge at the Shariah Courts.
56,What are the requirements for applications?,The application shall be submitted by the guardian or his/her attorney.Funds of the minor/ interdicted person should be available.The application submitted should be related to satisfy the needs of the minor/ interdicted person
57,What is the documentation to be enclosed with the application?,The required documentation differs by the type of application as hereinbelow: Request for buying a car:Certification of succession.Guardianship deed or the guardianship judgment (for interdicted person)Power of attorney if any (for the guardian’s attorney).Statement of account (minor/ interdicted person) from the depository.Car price from the seller.Copy of the registration book of the vehicle intended to be bought (if the car has been previously registered).Copy of the driver’s license.Copy of the registration book of the car after registration. Request for buying a property:Certification of succession.Guardianship deed or the guardianship judgment (for interdicted person)Power of attorney if any (for the guardian’s attorney).Statement of account (minor/ interdicted person) from the depository.Valuation document for the property to be purchased from the competent authority.Copy of the property title deed from the owner of the property intended to be bought. Assignment request:Certification of succession.Guardianship deed or the guardianship judgment (for interdicted person)Power of attorney if any (for the guardian’s attorney).Statement of account (minor/ interdicted person) from the depository.Copy of the documents of the assigned property. Request for sale:Certification of succession.Guardianship deed or the guardianship judgment (for interdicted person)Power of attorney if any (for the guardian’s attorney).Statement of account (minor/ interdicted person) from the depository.Copy of the sold item documents. Request for a release of amount:Certification of succession.Guardianship deed or the guardianship judgment (for interdicted person)Power of attorney if any (for the guardian’s attorney).Statement of account (minor/ interdicted person) from the depository. Copy of the documents for the reason of payment:
58,How the amounts belonging to the minor or interdicted person available at the court treasury or with any banking institution shall be released?,"The guardian shall submit an application to the court were the  estate case file is available. The guardian shall fill-up an application  for the release to the guardian/ interdicted person the amounts  available with the employee in-charge at the Shariah Court.The  request shall be referred by the competent court to the Minor and  Absentees Funds Care Department for follow-up, supervision and opinion.The  Department shall follow-up the application directly contact the clients  to ensure the provision of the necessary documents, investigate the  case and conduct inspection if need be.Then the Department  shall send the letter to the court containing its opinion for processing  the application, after the application process the client shall be  informed by the Minor and Absentees Funds Care Department by sending the  reply to the application to the Shariah Court where the application was  submitted by direct contact or text message."
59,What is the reason for maintaining the minors funds generated from the testator with the Court Treasury?,"To safeguard the minor funds until they reach the legal age. Now, the minor funds are deposited into the Islamic banks in the name of the minor and may only be released by a court order."
60,How the legal age confirmation certificate is obtained?,The legal age is established at the Shariah Courts in the presence of the witnesses
61,When the minor is entitled to receive his/her funds?,The minor shall receive all his funds if he is sane and reached the legal age of .
62,Are there any fees for the submission of payment applications?,There are some fees imposed by the Department but there are other fees for opening a file at the Shariah Courts.
63,How many calls on are required for finalizing the application?,"The application requires two calls only, the first for submitting the application and the other for receiving the reply."
64,Where the client can obtain the application form for the amount payment?,The application for the amount payment is available with the employees  in-charge at the Shariah Courts. It is also available on the website of  the Ministry of Justice.
65,Is the guardian required to submit an application?,"Yes, the application should be submitted by the guardian or their attorney."
66,Is it possible for the minor to receive an amount for buying a car?,"Yes, it is possible but after submitting all the documentation required  for the payment and obtaining an approval after studying the minor need  for a car."
67,What are the procedures if the guardian wants to build a house for the minor or the interdicted person from their own funds available with the court?,The request for payment shall be submitted according to the procedures  applicable at the Shariah Courts. The amount belonging to the minor  shall be released after the payment of the share of the other heirs. The  amount shall be released through a number of payments. Field inspection  shall be conducted at the place of the construction before the release  of each payment. The contracting agreement should be attached showing  the shares of the heirs in the building.
68,Is there any investment for the funds available at the Court Treasury which belong to the minors or interdicted persons?,"The funds available at the court treasury may not be invested. However,  the guardian or the Department may transfer the amounts to one of the  Islamic Banks as investment deposits in the name of the minor or the  interdicted person if this serves their own interest."
69,Is Zakat due on the minor funds and when it should be calculated?,Yes and the guardian should submit an application for Zakat release from the Shariah Courts.
70,Can the guardian increase the funds through legitimate means?,"Yes, the guardian may increase the funds of the minor or the interdicted  person by investing them through legitimate means. However he/she shall  submit periodic reports to the court."
71,What are the Functions of the Attestation Employee?,To attest all financial transactions issued by federal and local authorities in the state which are duly certified.To attest all transactions duly issued by the private sector in the  state and certified by the Chamber of Commerce and Industry or the  Municipality owner of the license.To attest all documents  incoming from abroad after satisfying all the due attestations by the  U.A.E. Embassy or the country of issue and the Ministry of Foreign  Affairs.Verification of the legal translator on the document or deed and ensure that it is duly certified.
72,What is the required Documentation?,Document required to be attested should be presented. Due fees: Dhs.  for each transaction.
73,Where the Attestations Offices are located?,"Ministry of Justice – Abu Dhabi.Ministry of Justice – Dubai.All Federal Judicial Departments in Sharjah, Ajman, Umm Al Quwain and Fujairah.Marina Mall Abu Dhabi."
74,What are the official working hours?,"All the offices operate from : am to : pm.Marina Mall from : am to : pm.Notary Public: The Notary Public is in-charge of formulating all contracts, documents,  authenticate all signatures, establish the date of the customary  documents as provided for in the law and process any other transactions  as stipulated in the law so as to gain the official conclusiveness."
75,What are the Functions of the Notary Public?,The Notary Public shall  prepare all contracts and documents according to the law or as requested  by the higher authority to be prepared in a hard or soft copies as well  as entering the same in the records designated for this purpose.
76,What are the transactions required by the law to be prepared by the Notary Public?,"Commercial contracts of all types, addendums and resolutions of the general meetings.Sale contracts.Mortgage contracts.All types of powers of attorney.Declarations.Assignments.Private labor contracts.Authentication of signature.Legal notices.Establishment of a contract or document date.Notarization of all personal status documents for non-Muslims.Certified true copy of all transactions and documents issued by the Notary Public.Process any other transactions as stipulated in the law."
77,What is the Documentation required for a Transactions Process?,"Original I.D. + photostat copies of the same.All  contracts, documents and deeds are to be printed in Arabic language or  translated into English language carrying the stamp of the legal  translator approved by the Ministry of Justice.Present the original power of attorney alongwith copy of the power of attorney for the attending attorney.Two adult and sane witnesses should be available alongwith photostat copies of their I.Ds.Initial  approval by the Chamber of Commerce or Departments of Economic  Development is required in case of memorandum of associations alongwith a  photostat copy of the approval.Trade license with a photostat copy thereof.Initial  approval from the competent authorities in case of disposition of  ownership such as a property or car according to the local laws of each  Emirate."
78,How the Fees are calculated?,"Dhs. /- for each signature on a contract or a documents value of which is less than Dhs. ,/-.Dhs.  /- for each signature on a contract or a document value of which is  not less than Dhs. ,/- and not more than Dhs. ,/-.For  the signature on a contract or document with a value in excess of Dhs.  ,/-, % of the value mentioned in the contract or the document  shall be charged with a maximum of Dhs. ,/-.Dhs. /- shall be charged for the attestation of signatures on contracts or documents without specific value.Dhs. .- for the attestation of general or private power of attorney or its revocation.Dhs. /- for the establishment of the date of a contract or document.Dhs. /- shall be charged for each paper upon the attestation of each translation.Dhs. /- shall be charged for the Notary Public travel to a location or to a place.Dhs. /- for each page of a certified true copy of the contract or the document."
79,Transactions out of the Notary Public jurisdiction?,"Preparation or attestation of any contracts or documents  related to Muslims personal status or endowment are out of the scope of  the Notary Public jurisdiction.The Notary Public shall have no  jurisdiction to notarize the signatures of government officials on  documents, letters, certificates or other documents issued by government  authorities."
80,Where the Notary Public Offices are located?,"Emirate of Sharjah, Judicial Department, Department of Economic  Development – KAN, Department of Economic Development – Sanaia , Al  Dhaid Court, Al Mudam Court, Khurfakan Court, Kalba Court, Dibaa Al Hosn  Court.Emirate of Ajman, Judicial Department, Department of Municipality and Planning, Municipality Head Office and Al Hamidiya.Emirate of Umm Al Quwian, Judicial Department.Emirate of Fujairah Judicial Department, Dibaa Fujairah Court, Masafi Court."
81,What are the Working Hours?,Morning shift from : am to : pm for all offices.Evening shift from : pm to : pm.Sharjah Judicial Department.Ajman Department of Municipality and Planning/ Municipality Building.
82,I am a legal translator with years of experience outside and inside the state. Can I add the years of experience in the state to years of experience outside the state to become five years in total so that I can register as a legal translator at the Ministry of Justice and get licensed?,"Registration is allowed in this case provided that - experience is accumulated at a governmental entity in the field of translation or from private entity involved in translation (translation office /institute/ center) -certificates of experience issued outside the country should be duly attested by the Embassy of the State in the country of origin and UAE Ministry of Foreign Affairs. For in-state experience, it should be with a translation or government entity indicating the applicant’s position as a translator. UAE nationals are exempted from the experience."
83,I am a legal translator with years of experience outside and inside the state. Can I add the years of experience in the state to years of experience outside the state to become five years in total so that I can register as a legal translator at the Ministry of Justice and get licensed?,"Registration is allowed in this case provided that -  experience is accumulated at a governmental entity in the field of  translation or from private entity involved in translation (translation  office /institute/ center) -certificates of experience issued outside  the country should be duly attested by the Embassy of the State in the  country of origin and UAE Ministry of Foreign Affairs. For in-state  experience, it should be with a translation or government entity  indicating the applicant’s position as a translator. UAE nationals are  exempted from the experience."
84,Where can the legal translator avail enrollment forms and renewal of registration without attending to the ministry?,Applicants can avail all sorts of registration forms  for translators’ affairs division on the Ministry of Justice website  www.moj.gov.ae.
85,What are the topics covered by the placement exam? What is the duration of the exam?,"Exam covers general topics, and the time allowed is  two hours and a half and the translator can use terminology dictionaries  only."
86,Can a translator take a dictionary to the exam?,"Yes, it is allowed."
87,"If a translator has less than five years of experience, can he/she pay a certain amount to allow him to work before state courts?","Unfortunately, it is not allowed by law."
88,"If a legal translator holds a Bachelor of Arts in language and translation, does he/she require to satisfy the required years of experience to be registered in the ministry?","Yes, they still need five years of experience as per the law."
89,Would the years of experience in a teaching profession be accounted for at the Ministry of Justice for a legal license as a translator?,"Unfortunately not, because they are two different professions."
90,How can I get a legal translation license?,"Federal Translation Law stipulated the following: Applicant  must have a graduate degree from a recognized university witnessing his  specialty in the foreign language to and from which the translation  will take place.Applicant must be fluent in reading, writing and speaking Arabic.The  total work experience shall not be less than five calendar years  following graduation in the field of translation, and UAE nationals are  exempted from this condition.Applicant must pass the  examination provided by the competent authority in any of the Emirates  to prove himself/herself competent, and such entities determine the  minimum score for passing the exam.Applicant must not be  sentenced in crime involving moral turpitude or dishonesty, unless he  has been cleared or was pardoned by the competent authority.Applicants  can avail all sorts of registration forms for translators’ affairs  division on the Ministry of Justice website www.moj.gov.ae"
Method of payments/ in favor of a plaintiff in a lawsuit?,"Cash, approved checks, e-dirham, banking cards (debit/credits), Prosecution services on the website, the smart application for the Public Prosecution or the kiosk after payment of Dhs20. As required fees for the service."
How and where can I submit to renew passports/residence visas?,"By appearance before the concerned prosecution, via Public Prosecution website, its smart applications or the kiosk."
When can I receive my passport seized pending lawsuit?,"When you are excluded from accusation, declared innocent, executed sentence or after the approval of judge/prosecutor in charge."
How can I submit to receive my passport?,"By appearance before the concerned prosecution, via public Prosecution website, its smart applications or the kiosk, after payment of Dhs.20 as required fee."
Where and how can I submit to end a measure against a juvenile?,"By appearance before the concerned prosecution, via public Prosecution website, its smart applications or the kiosk."
What are the procedures for receiving deposits at the Prosecution?,"You can submit for this service by appearing before the concerned prosecution, its website, smart application or the kiosk along with payment of Dhs.20 as required fees. You or your attorney can receive these items if there is no court decision of confiscation, and its manufacturing, using, possession, sale or exhibit for sale does not constitute a crime."
How can I return the bail amount (Bond)?,"You can get it if you have been excluded from accusation, executed your sentence or by exchanging bail after approval of the concerned authority."
How to get my passport seized pending a lawsuit?,"You can get your passport if you are excluded from accusation, executed sentence against you or by exchanging bail after approval of the concerned authority."
How can I exchange my bail?,"Submit request in the concerned prosecution, Public prosecution web site, its smart applications or the kiosk along with payment of Dhs.20.Contact Prosecution in case of approval."
How can I renew my residence visa while Public Prosecution/ court seizes my passport?,"You can submit for ?Passports/residence visas Renewal? service in the Customer Service center of the concerned prosecution, Federal prosecution web site or its smart applications after payment of the required fees. The prosecution shall take the necessary actions."
What are the procedures for submitting ?an objection request? service?,"Required documents:
1.Objection request or application.
2.Specified bail.
Conditions:
1.Presence of the accused or his legal representative.
2.A ruling in absentia.
3.Objection is not against a felony charge.
4.Payment of Dhs.20."
How can I submit for ?appeal request? service? The procedures?,"Required documents:
1. Photocopy of judgment (court of first instance ruling.)
 2. Applicant ID/passport.
Conditions:
1.Applicant is the convict, his legal representative or the civil defendant.
2.Payment of Dhs.20."
What is the procedure to appeal a judgment?,"By submitting an appeal request to Customer Service Center in the concerned prosecution, Federal Prosecution web site or its smart applications after paying the required fees. The prosecution shall the take necessary steps. You have to attend for execution in the first session of appeal."
What is the procedure to appeal against a ruling in absentia?,"You can submit an objection request through the Customer Service center in the concerned prosecution, Federal Prosecution web site or its smart applications after paying the required fees. The prosecution shall the take necessary steps. You have to attend the first hearing session or your objection will be considered void ab initio."
When a copy of judgment can be obtained after the judgment is issued?,Within 5 working days.
What are the procedures to submit for? photocopy of judgment/case dropping? service?,"Required document: Applicant ID/passport.
Conditions:
1.Applicant is the concerned person or his legal representative.
2.Issuance of the judgment or case dropping decision.
3.Required fees: Dhs.20 for the parties of the case.Dhs.50 for non-parties. Fee for case dropping decision is dhs.20."
What are the conditions and procedures to complain/appeal against case dropping decision?,"You can submit through Customer Service center in the concerned prosecution, its website or the smart applications for the Federal prosecution after paying the required fee."
Fees for a penal case?,"Misdemeanor : Dhs.50
Felony             : Dhs.100.
(Juveniles and acquitted persons are exempted)."
Requirement for initiating a petition or suit?,"Application submitted by the complainant detailing the core of his complaint, place and evidence thereto. In addition, payment of Dhs.20 as required fee."
