,Questions,Answers
10,"If I show symptoms on arrival at Dubai Airport and test positive, what happens?"",","\n    \n    If the result is positive, compliance with 10-day isolation becomes mandatory.\n    \n        A person who is infected with COVID-19 will remain in isolation for a duration of 10 days (home or facility). The isolation ends after completing the 10 days with improvement in symptoms and no fever for at least three consecutive days, without any fever reduction medication.\n        For more information, please visit this Dubai Health Authority page.\n        For those that are a COVID-19 close contact case, no quarantine is required if you are not experiencing any symptoms.\n    \n    \n"""
11,"Are transit travellers required to follow the same procedures related to conducting Covid-19 PCR tests?"",","\n    For transit passengers, the rules and conditions for entry at the final destination will apply. \n    Passengers must check their country’s travel advisory for latest guidance on outbound trips, as well as the carrier requirements.\n"""
12,"What are the procedures when departing from Dubai?"",","\n    Passengers departing Dubai Airports will need to do a PCR test only if it is mandated by the country they are travelling to.\n    A rapid PCR or Rapid Antigen test will be available at the airport to travellers departing from Dubai if their destination country requires it. \n    Passengers are advised to check the travel protocols of their carrier and arrival destination.\n\nNote: Airlines have the right to deny travellers if they display any symptoms of COVID-19."""
13,"What do I need to know or what are the rules I have to follow when in Dubai?"",","\n    \n    Responsibilities of travellers:\n    \n        Adhere to all official measures and requirements established by the Dubai Government and other countries before travelling and after returning to Dubai.\n        Disclose any symptoms before travelling by filling in the form provided by airlines.\n    \n    \n    Tourists will bear the costs of examination and treatment abroad, in the event they are infected with COVID-19, so are advised to have international health insurance coverage that covers COVID-19 before travelling. \n    Take precautionary measures and self-monitor for any symptoms of COVID-19\n    Follow the isolation guidelines in the case you show symptoms on arrival and the result is “positive”.\n"""
14,"Do I have to wear a mask during my holiday in Dubai?"",","\n    Masks are compulsory in public indoor venues, while wearing one in outdoor areas is optional.\n    Additionally, you must continue to sanitise your hands frequently.\n"""
15,"Do tourists have to pay for the treatment and quarantine stay in a hotel if they show symptoms and/or require a second test and the test is positive?"",","\n    The traveller will bear the cost of treatment and quarantine.\n    Customers purchasing an Emirates airline or FlyDubai ticket from 1 December 2020 benefit from additional multi-risk travel insurance provided by AIG Travel or NEXtCARE through to 31 March 2022, including cover for COVID-19 and overseas medical expenses. Please see the following links for more information and a supporting FAQ: Emirates airline | FlyDubai\n    \n    Alternatives for isolation include institutional quarantine (dedicated hotels/facilities), home or hospitalisation and potential options based on the patient’s assessment.\n    \n    \n        A person who is infected with COVID-19 will remain in isolation for 10 days (home or facility). The isolation ends after completing the 10 days with improvement in symptoms and no fever for at least three consecutive days, without any fever reduction medication.\n        For more information, please visit this Dubai Health Authority page.\n        For those that are a COVID-19 close contact case, no quarantine is required if you are not experiencing any symptoms.\n        The traveller will bear the cost of treatment and quarantine unless their carrier is Emirates airline or FlyDubai.\n    \n    \n"""
16,"If tourists who are spending their stay at family’s, friend’s residences and show COVID-19 symptoms on arrival and require a second test, would they be required to go into quarantine?"",","\n    If the COVID-19 test result is positive, the traveller is required to adhere to the isolation guidelines. The location for isolation will be determined according to the household situation and the health status of the patient (institutional isolation or at the hospital).\n    \n    \n        \n        \n            A person who is infected with COVID-19 will self isolate. The isolation period for a confirmed COVID-19 case is 10 days. The isolation ends after completing the 10 days with improvement in symptoms and no fever for 3 consecutive days at least, without any fever reduction medication.\n            For more information, please visit this Dubai Health Authority page.\n            For those that are a COVID-19 close contact case, no quarantine is required if you are not experiencing any symptoms.\n        \n        \n    \n    \n"""
17,"Do I need a visa and if yes, how do I apply?"",","For all the visa related information please reach out to The General Directorate of Residency and Foreigners Affairs and check your country’s travel advisory for latest guidance on outbound trips."""
18,"Are the Emirates airline flight routes fully restored?"",","Please click here for information on which destinations Emirates is flying to and from."""
19,"Have MICE events resumed?"",","\n\n    Yes, local and international MICE events have resumed as well as leisure & retail events.\n    All events are following stringent safety and security protocols.\n    Business events can operate at a reduced capacity of 70% while adhering to all government-issued protocols.\n    Institutional events and award ceremonies can take place with a maximum of 1,000 people, with no mandatory vaccination requirements.\n"""
20,"Have live events resumed in Dubai?"",","\n    Entertainment activities including classical, theatrical and comedy events can resume upon securing a permit, with event organisers and attendees adhering to the latest safety and precautionary measures. For more information please contact the Dubai Tourism Call Centre Tel: 600 555 559.\n    Mass, entertainment, sporting and business events (including audiences) must adhere to an event capacity of 70% and must follow social distancing guidelines. \n    Social activities can increase capacity to 60% and not exceed 300 people. \n    For event vaccination requirements, please refer to latest published protocols.\n    \n     \n    \n"""
21,"Are destination weddings able to be planned in Dubai?"",","Yes, weddings can be planned and hosted in Dubai with an increased capacity to 60%, not exceeding 300 attendees. Elderly people and those with chronic conditions are advised not to attend gatherings."""
22,"What are the dates for Expo 2020 and where can I get further details?"",","The global mega event launched on 1 October and will run through to 31 March 2022. For the latest updates please visit https://www.expo2020dubai.com/ or @Expo2020dubai on social media."""
23,"Do I need to be vaccinated to visit Expo 2020?"",","\n    All visitors must show proof of at least one dose of any COVID-19 vaccine, recognised by any Expo 2020 participating country or the World Health Organisation (WHO).\n    If unvaccinated, visitors must present a negative PCR test certificate for a test conducted within the last 72 hours.\n    For further information on Expo 2020’s COVID-19 safety measures, please click here.\n"""
24,"Where can I find the official measures and requirements by the Dubai Government?"",","The public are required to follow precautionary measures, which include:\n\n    Wearing a face mask in all public indoor venues.\n    Adhering to frequent hand sanitisation.\n\nPlease find below helpful links to official sources:\n\n    Dubai Airports website\n    Dubai Municipality website\n    Dubai Health Authority website\n    Federal Authority for Identity and Citizenship website\n    General Directorate of Residency and Foreigners Affairs-Dubai website\n    United Arab Emirates Ministry of Health & Prevention website\n"""
25,"When do I need an activity permit?"",","You need an activity permit if you are a venue such as a hotel, mall or restaurant or any venue wanting to organise recurring entertainment or activities, such as a musician, a band, shows or a temporary play area."""
26,"What happens if my activity permit is rejected?"",","You can discuss your case by contacting the DET e-Permit department via the e-Permit portal. All concerns will be resolved on a case-by-case basis."""
27,"How soon will I get my activity permit after it's approved?"",","Upon approval, your activity permit will be issued within one business day."""
28,"How long can an activity continue for?"",","Activities can last from one day to three months."""
29,"Who can apply for this service?"",","Only hotel operators can apply for a tent permit."""
30,"When can I apply for a temporary tent permit?"",","You can apply for a tent permit up to 24 hours before the day of the proposed event."""
31,"Can I apply for an entertainment event permit in the entertainment tent?"",","Yes, as soon as the entertainment tent permit is issued, the tent will be added under the sub-venue listing of the hotel. You can apply for the entertainment event permit by selecting it from this list."""
32,"Can I amend my request for entertainment tent permit?"",","No, but you can apply for a new one."""
33,"Can I extend my request for entertainment tent permit?"",","You can apply as a new permit and include your new dates."""
34,"Can I add a new activity type to an issued permit?"",","Yes, this is possible for entertainment activity permits."""
35,"How many times can I amend the activity permit?"",","There is no limit to the amendments. Some amendments need to be conducted before the activity starts, while others can be done when the activity is still ongoing."""
36,"Is there any fee for this service?"",","No, it’s free of charge."""
37,"What are the types of private activities?"",","Events of a personal nature like birthdays, engagements and weddings. Some corporate events also fall under private activities, such as staff meetings (as long as the attendees are staff members in the same organisation)."""
38,"How long does it take to get an activity amendment approved?"",","On approval, your permit will be amended within one business day."""
39,"When should I apply for private activity?"",","Once you have secured your venue you can apply for a private activity permit. Applications can be received up until 24 hours before the event commences."""
40,"What makes DCT different?"",","Dubai College of Tourism (DCT) is a government-backed college established by Department to Economy and Tourism in Dubai. Our curriculum is designed to embed the life skills and confidence graduates need to build exciting careers in the tourism industry. We deliver this through a platform of practical and vocational training, including internships, site visits, workshops and collaborative projects - taught by teachers with direct industry experience and with special insights from guest lecturers from the very best of homegrown and international industry leaders. A fully education delivered from one of the world's most pioneering tourism brands. """
41,"Are the DCT courses accredited?"",","Yes. Our courses are approved by the Knowledge and Human Development Authority (KHDA). Dubai College of Tourism also has global accreditation with the Institute of Hospitality for its programmes in Tourism, Events, Hospitality and Culinary Arts."""
42,"Is IELTS or TOEFL certification necessary to apply?"",","International students do require either IELTS or TOEFL certification.\nUAE residents are required to pass our English Aptitude Assessment."""
43,"When is the intake?"",","Admissions are for a September intake. Please apply before then."""
44,"Can I visit the college?"",","Yes. We have formal open days, but you can request a visit at any time. We look forward to welcoming you and showing you around. You can contact us at info@dct.ac.ae to arrange a visit."""
45,"What is the cost?"",","The latest pricing schedule can be found on the Dubai College of Tourism website."""
46,"Can I pay in instalments?"",","Residents of the UAE have the option to pay in instalments."""
47,"Do I have to pay to apply?"",","No, applications are free."""
48,"What prerequisites must be in place if I wish to apply for a desert camp permit?"",","To apply for the desert permit, you have to have the following:\n\nA valid safari permit with 10 vehicles owned and registered under the company, or five vehicles plus a bus with a minimum of 45 seats registered to the company.\n\nMinimum five tour guides at the company.\n\nApproval from the department of Civil Defense.\n\nApproval from Dubai Municipality."""
49,"Can I apply for a desert camp permit with freelance drivers or tour guides?"",","No, safari drivers and tour guides must be under the company visa."""
50,"How long is a desert camp permit valid for?"",","A safari permit is valid for one year or until the expiry of the tenancy contract."""
51,"How can I renew my desert camp permit?"",","If your permit has expired, you have to apply for a new permit."""
52,"Can I amend desert camp permit to extend its area?"",","Yes, you can as long as you have all of the necessary and updated documentation in place."""
53,"How many tour guides I can add to my permit?"",","A minimum of five tour guides are needed to be issued a permit.\nYou can add as many tour guides as you wish above the minimum of five."""
54,"How can I amend or add new vehicle to my desert camp permit?"",","When you amend your permit you can change these details."""
55,"Who can apply for a tour operator desk permit?"",","Tour operators and tourism companies."""
56,"How long does it take to apply and get approved for a tour operator counter or kiosk?"",","It can take up to 24 hours to receive an approval for a tourism counter or kiosk."""
57,"Can I amend or renew my counter permit?"",","No, you need to apply for new one after expiry."""
58,"Are there any specifications for the required travel desk photos?"",","Yes, the photos must be clear, and show the counter from two different angles."""
59,"What is Dubai Assured?"",","Dubai Assured is a compliance programme to certify and recognise hotels, retail, F&B, and attractions that have implemented all public health protocols for the prevention and management of COVID-19, as part of the efforts to ensure that Dubai is at its highest level of safety preparedness ahead of the city’s reopening to international visitors.\nThe stamp is a visual identity that guests will recognise throughout their stay in Dubai, reinforcing the message that the establishment is strictly adhering to health and safety protocols."""
60,"Why is Dubai Assured important?"",","The quality of health and safety measures is on the minds of travellers when selecting their destination of choice, and the Dubai Assured stamp for the hospitality sector is a critical mechanism designed to assure tourists of a smooth and safe experience at every stage of their travel journey, from arrival at our airports to the point of departure from Dubai."""
61,"Which authority introduced Dubai Assured?"",","Dubai Assured is a collaboration between the Department of Economy and Tourism (DET) and Dubai Municipality."""
62,"Which establishments can participate?"",","All establishments within the hotel, retail, F&B, attractions, and leisure & entertainment sectors are highly encouraged to comply with the authorities’ health and safety guidelines to prevent the spread of COVID-19. The Dubai Assured stamp will showcase each establishment’s strict adherence to health and safety, thus instilling confidence in and enhancing, the guest experience."""
63,"How can an establishment become Dubai Assured-certified?"",","Establishments should strictly adhere to the health and safety guidelines issued by Department of Economy and Tourism. Certification will be issued as part of the authorities’ regular 15-day inspection cycle. A digital toolkit with the Dubai Assured logo and associated brand guidelines will be shared with all compliant establishments so that they can display the certification on their premises. """
64,"How long is the Dubai Assured stamp valid for after inspection? "",","The specially designed Dubai Assured stamp will be issued free of charge and will be valid for 15 days. It will be renewed every two weeks upon further verification by the relevant inspectors."""
65,"What health and safety measures does an establishment need to meet in order to get the Dubai Assured stamp?"",","Detailed guidelines designed for each sector can be obtained from Department of Economy and Tourism.\nIn addition to the standard precautionary measures of physical distancing and wearing of masks at all times by guests and employees, specific measures have been undertaken as examples.\nHotels in Dubai have also deployed stringent disinfection measures of their facilities, as well as enhanced sanitisation covering high-frequency contact points in lobbies and other areas including restaurants and swimming pools. Entrances to hotels have also been fitted with equipment for contactless screening of guests. \nMall operators are also using advanced technology to minimise risks including use of thermal scanners and cameras to monitor pedestrian traffic at all entry points. \nPublic parks and beaches under Dubai Municipality have reopened with strict guidelines to be followed by visitors to these facilities.\nRestaurants are permitted to serve guests with reduced seating arrangements and maintain a distance of two metres between tables."""
66,"Is there a Dubai Assured website? "",","Yes, please visit www.DubaiAssured.ae for more details."""
67,"Are there any events that you can’t list on Dubai Calendar?"",","You can not list the following event types on Dubai Calendar:\n\nPrivate functions or closed invitation events\nBranded product launches or in-store promotions\nEvents selling art, retail or commercial products\nAny auditions, workshops, courses or classes\nIndividual school events, programmes or holiday camps\nEvents of personal benefit, such as weddings, graduations, reunions, anniversaries, birthdays, etc\nEvents for political organisations whose primary purpose is to\ninfluence legislation\nEvents that promote alcohol, firearms, weapons, pornography,\ngambling/lottery, political issues and comparative sponsorship"""
68,"Do I have to have an e-ticketing permit to list my event on Dubai calendar?"",","You don’t need an e-ticketing permit to list your event on Dubai Calendar. However, you do need an event permit."""
69,"How can I modify/remove my event listing on Dubai Calendar?"",","If you would like to change your event listing, please contact us."""
70,"How long does it take to have my event appear on the Dubai Calendar?"",","Your event will be listed within two business days if all your documentation is complete."""
71,"Can I get financial support for my event?"",","Yes. As DET, we offer sponsorship opportunities. Read more about sponsorship options"""
72,"Where can I register for Dubai Expert?"",","Please visit www.dubaiexpert.ae\n\n \n"""
73,"Who is eligible to become a Dubai Expert?"",","Only travel agents and tour operators are valid to become a Dubai Expert."""
74,"What do I need to do become a Dubai Expert?"",","To become a Dubai Expert, you are required to:\n- Achieve a Perfect score on a minimum of 17 missions\n- Watch all 25 videos embedded in the game"""
75,"How long should it take me to complete Dubai Expert?"",","We recommend spreading your Dubai Expert journey out over a few days to become fully immersed in it, and benefit from greater recall."""
76,"How long will it take to become a Dubai Expert?"",","To become a Dubai Expert requires the completion of 17 missions, 25 videos and 50 timed questions. It could be completed in a day, but we suggest to ‘play’ over time."""
77,"What sort of results can I get in Dubai Expert?"",","For each mission you play, you can get one of three results. Perfect: the player managed to achieve a score that is high enough to unlock all the three rewards embedded in a mission. Completed: the player successfully completed a mission but didn't manage to achieve a high enough score. Failed: A mission is failed when the Traveller Satisfaction gauge falls to zero."""
78,"Is there an additional level that I can progress to in Dubai Expert?"",","Yes. You can become a Dubai Expert Plus by meeting the following criteria:\n\n- Perfect scores in 27 missions\n- Watch all 25 videos\n- Answer all 55 timed questions correctly"""
79,"What are the technical requirements for playing Dubai Expert?"",","Dubai Expert works best on Chrome or Firefox browsers.\nThe Dubai Expert game will take two to five minutes to download, during which time the browser must be kept open. \nNavigation away from the page will pause game download. Any use of a proxy or VPN may disrupt Dubai Expert."""
80,"Does Dubai Expert work on all web browsers?"",","For optimal performance, we suggest that the Dubai Expert game is played using Chrome or Firefox browsers."""
81,"Is there a Dubai Expert App?"",","Yes. The Dubai Expert is available on both the Apple's App store and Google's Play Store."""
82,"What is Dubai Way?"",","Dubai Way is the training and engagement platform for anyone who interacts with tourists as part of their job. Having the correct knowledge and information about Dubai, it’s history, culture and heritage and excellent customer service skills are critical to delivering exceptional experiences for visitors to Dubai."""
83,"How does Dubai Way work?"",","The Dubai Way training is completely online. It is video based learning with interactive activities and assessments throughout to verify your knowledge."""
84,"How much does using Dubai Way cost?"",","Your employer will be responsible for the cost of the Dubai Way and you should register for the Dubai Way via your employer who will provide you with their establishment code."""
85,"How can I register?"",","If you are resident and working in Dubai, you can register for Dubai Way via your employer. Your employer should be a registered establishment with Dubai Way and they will be able to provide you with an establishment code. Once you have the establishment code, you can register using your Emirates ID and progress to the Dubai Way training platform."""
86,"I am stuck. What can I do?"",","There is a live chat assistant available 24 hours a day to assist you with your learning. Please click onto the Need Help button."""
87,"How long will it take me to complete the Dubai Way?"",","The course can take anything from a few days to a few weeks, depending on how often you study. Once you commence the Dubai Way, you have 90 days to complete the course before the training will time out."""
88,"Is Dubai Way translated into different languages?"",","Level 2 of Dubai Way is taught in English with subtitles provided in Arabic and Mandarin languages. Level 1 of Dubai Way has both voiceover and subtitles in English, Arabic, Hindi, Urdu, and Bengali"""
89,"When I finish the Dubai Way, what will I receive?"",","As a graduate of the Dubai Way, you will be recognized as a Dubai Way champion and will receive a certificate and pin in recognition of your achievement."""
90,"Why is completing the Dubai Way important?"",","Tourism is a major contributor to Dubai’s GDP and the reason why we all have job opportunities. With more knowledge and information you will be better prepared to welcome tourists and to provide the very best tourism experience. The better the tourism experience, the more visitors will want to return and the more opportunities for all of us."""
91,"What types of events do I need a permit for?"",","Entertainment, sport, business, religious and charity events are all event types that require permits issued through e-Permit portal."""
92,"What documents are required for registration?"",","For registration purposes, you are only required to submit:\n\nA copy of trade license,\n\nThe event coordinator Passport copy (venue account),\n\nAn NOC for Registration and the Emirates ID for the system user.\n\n\nA maximum file size of 10 MB is permitted and .html, .htm, .aspx, .exe,.xhtml and .dll files are not accepted."""
93,"If a trade licence is expired, can I register in the system?"",","Your trade license must be valid for a minimum of four weeks prior to the event start date. The e-permit system will automatically send a notification to renew your licence three months before expiry."""
94,"Can any event organiser register to run any type of event?"",","To apply for an event, a company trade license should clearly state one of the following activities for the e-Permits registration:\n\nEntertainment events: Parties and entertainment services\n\nBusiness events: Conference and exhibition organisation\n\nSport events: Rallies and sport tournament organising services, sports exhibition organising or sports services or event management. \nA free zone company license should clearly state ‘Event management’ activity in order to register on the e-Permits portal. Additionally, you can apply for events permits within free-zone areas."""
95,"How long will it take to approve my account?"",","It will be approved within 24 hours."""
96,"How soon will I get my event permit after it's approved?"",","Upon approval, your activity permit will be issued within five business days after receipt of payment of fees."""
97,"What happens if my event permit is rejected?"",","You can discuss your case by contacting the DET e-Permit department via the e-Permit portal."""
98,"Can I add a new event type to an issued permit?"",","No, you will need need to apply for a new permit for the additional event type."""
99,"How many times can I amend the e-permit?"",","There is no limit to the amendments involved, given that the event is still at least one working day away."""
100,"How long does it take for a change to be approved and reflect on my permit?"",","On approval, your permit will be amended within 24 hours."""
101,"Can freezone-registered companies run events across all of Dubai?"",","Freezone companies can only conduct events within freezones. Companies licensed in Dubai can conduct events on both Dubai mainland and freezones."""
102,"If company holds a trade license from other emirates (i.e. RAK Free zone) would this be accepted to use e-Permits?"",","No. Only companies holding a Dubai trade license can use the e-Permits."""
103,"Who can apply for the Leisure Event Sponsorship Scheme?"",","\n\n\nEvent Organisers who are hosting an event that is:\n- Ticketed\n- Open to the public\n- Eligible to apply for or holds a Leisure Event Permit\n\n\n"""
104,"What happens if my application is rejected?"",","Please note that you can apply again if your event is rejected, provided it is still within three months of the event start date. """
105,"When can I apply for the Leisure Events Sponsorship Scheme?"",","\n\n\nYou can apply for the scheme effective immediately. For details, please visit www.visitdubai.com/en/leisure-events-sponsorship.\n\n\n"""
106,"What is the minimum timeframe for submitting my application for the Leisure Events Sponsorship Scheme?"",","Applications must be received a minimum of four (4) weeks prior to the event date. """
107,"Do I need an event permit in order to apply for the Leisure Event Sponsorship Scheme?"",","\n\n\nYou must be eligible for a Leisure Event Permit in order to apply for sponsorship. If approved for funding support, you will be required to have an approved event permit to formalise the contract.\n\n\n"""
108,"My event permit has been applied for by the venue or ticketing provider. Can they apply for the Leisure Event Sponsorship Scheme on my behalf?"",","\n\n\nNo, only the event organiser who has contracted the event/artists may apply for sponsorship. \n\n\n"""
109,"I am both the venue and organiser of the event. Can I apply for the Leisure Event Sponsorship Scheme?"",","Yes, however you will need to provide evidence that you have contracted the event/artists directly as part of formalising the contract. """
110,"How quickly will I receive a response on my application?"",","Within five working days. """
111,"How do I apply for a Leisure Event Permit?"",","\n\n\nPlease follow this guide to help you apply for a permit.\n\n\n"""
112,"How will DET confirm that I am the event organiser?"",","In assessing the application we may request evidence that you hold the contract for the event/artist etc."""
113,"If I hold an Activity Event Permit, am I eligible to apply for sponsorship?"",","Only holders of Leisure Event Permits for a ticketed, public event can apply for sponsorship. """
114,"Once I receive approval on my application, what are the next steps?"",","\n\n\nFollow the steps below: \n\n    \n    Step 1: If you have not already done so, apply for your event permit and ticketing links \n    \n    \n    Step 2: You should ensure you are registered as a DET Supplier \n    \n    \n    Step 3: Agree event benefits with your Leisure Events team Account Manager \n    \n    \n    Step 4: Add Dubai Calendar as a ticketing channel on all event collateral, website, advertising material etc.\n    \n    \n    Step 5: Finalise your contract with DET, including a copy of your trade licence \n    \n    \n    Step 6: Market and hold your event ensuring agreed benefits are realised\n    \n    \n    Step 7: Work with your contracted ticketing company to reconcile ticketing report and payments with DET\n    \n    \n    Step 8: Upon receipt of LPO for sponsorship amount from DET, issue an invoice as instructed for sponsorship payment\n    \n\n\n\n"""
115,"Can I receive funding upfront?"",","No, the sponsorship will be paid within three (3) working days of financial reconciliation (funds cleared) of the ticketing fee for the event with DET."""
116,"Am I still eligible for sponsorship if I have a signed contract and my event is postponed to another date?"",","Yes, however you must formally notify your account manager of the date change and an addendum will be added to the existing contract."""
117,"What happens if I have a signed sponsorship contract and my event is cancelled?"",","Your contract will be cancelled, funding is only payable upon event closure with DET."""
118,"If I am the venue and the organiser (co-partnership with the international/local organiser) do I get the sponsorship too?"",","Only one party can apply for sponsorship per event. If there is any doubt, we will request a signed statement from the contracting party stating they have the rights to act on behalf of and contract for the event."""
119,"What is a ticketing API partner?"",","An API partner refers to ticketing/registration companies integrated with DET in order to sell tickets/take\nregistrations for events held in the emirate of Dubai.\nA technical integration must take place to link the ticket seller’s system with DET’s system ensuring compliance with the current regulations."""
120,"Is my company eligible to become a ticketing API partner"",","Any new or existing company in possession of a ticketing/registration system and holding a valid Dubai Trade Licence is eligible to becoming an Authorised Ticket Seller upon integration."""
121,"What are the requirements for becoming a ticketing API partner?"",","To get API access you will need:\n- Valid Dubai Trade License \n- Trade Licence activities related to events industry\n- Operational Ticketing/Registration system\n- Signed API Ticketing Agreement (provided by DET)\n- Submit the API Application Form"""
122,"What are the fees to becoming a ticketing API partner?"",","The integration attracts a one-time, non-refundable integration fee of 10,000AED."""
